收费门架编号,门架名称,门架类型,门架种类,省界入/出口标识,纬度,经度,使用状态,门架HEX字符串,反向门架HEX字符串
G001837013000210020,无棣-古城枢纽门架,路段收费门架,实体门架,,37.897162,117.674484,在用,3C3003,3D3012
G001837013000310030,古城枢纽-古城门架,路段收费门架,实体门架,,37.712362,117.826796,在用,3C3004,3D3011
G001837013000410040,古城-大高门架,路段收费门架,实体门架,,37.626375,117.863438,在用,3C3005,3D3010
G001837013000510050,大高-滨州北门架,路段收费门架,实体门架,,37.513464,117.911334,在用,3C3006,3D300F
G001837013000610060,滨州北-长深济东立交门架,路段收费门架,实体门架,,37.475585,117.910108,在用,3C3007,3D300E
G001837013000710070,长深济东立交-滨城门架,路段收费门架,实体门架,,37.425447,117.904559,在用,3C3008,3D300D
G001837013000810080,滨城-滨州门架,路段收费门架,实体门架,,37.37640493,117.9102795,在用,3C3009,3D300C
G001837013000910090,滨州-滨州南门架,路段收费门架,实体门架,,37.308133,117.914964,在用,3C300A,3D300B
G001837013001220120,滨州南-滨州门架,路段收费门架,实体门架,,37.307386,117.915859,在用,3D300B,3C300A
G001837013001320130,滨州-滨城门架,路段收费门架,实体门架,,37.37553214,117.9104191,在用,3D300C,3C3009
G001837013001420140,滨城-长深济东立交门架,路段收费门架,实体门架,,37.424657,117.904693,在用,3D300D,3C3008
G001837013001520150,长深济东立交-滨州北门架,路段收费门架,实体门架,,37.47489882,117.9100616,在用,3D300E,3C3007
G001837013001620160,滨州北-大高门架,路段收费门架,实体门架,,37.513047,117.911515,在用,3D300F,3C3006
G001837013001720170,大高-古城门架,路段收费门架,实体门架,,37.625425,117.863568,在用,3D3010,3C3005
G001837013001820180,古城-古城枢纽门架,路段收费门架,实体门架,,37.711793,117.827209,在用,3D3011,3C3004
G001837013001920190,古城枢纽-无棣门架,路段收费门架,实体门架,,37.897175,117.674514,在用,3D3012,3C3003
G001837013002020200,无棣-鲁北主线门架,省界收费门架,实体门架,省界出口,37.931237,117.640237,在用,3F3013,3E3001
G001837013002020220,无棣-鲁北主线门架,省界收费门架,实体门架,省界出口,37.928283,117.642816,在用,3F3013,3E3001
G001837013002110010,滨州-滨州虚收费门架,路段收费门架,虚拟门架,,37.36395904,117.9146413,在用,3C3034,3D3033
G001837013002120010,滨州虚-滨州收费门架,路段收费门架,虚拟门架,,37.36386906,117.9149028,在用,3D3033,3C3034
G001837013002210010,滨城-滨城虚收费门架,路段收费门架,虚拟门架,,37.41419166,117.9063513,在用,3C3036,3D3035
G001837013002220010,滨城虚-滨城收费门架,路段收费门架,虚拟门架,,37.41410048,117.9064901,在用,3D3035,3C3036
G001837013002310010,滨州北-滨州北虚收费门架,路段收费门架,虚拟门架,,37.49453745,117.9106593,在用,3C3038,3D3037
G001837013002320010,滨州北虚-滨州北收费门架,路段收费门架,虚拟门架,,37.4945784,117.9104721,在用,3D3037,3C3038
G001837013002410010,大高-大高虚收费门架,路段收费门架,虚拟门架,,37.60973718,117.8590243,在用,3C303A,3D3039
G001837013002420010,大高虚-大高收费门架,路段收费门架,虚拟门架,,37.60989252,117.8591665,在用,3D3039,3C303A
G001837013002510010,滨州南-滨州南虚收费门架,路段收费门架,虚拟门架,,37.30038165,117.931573,在用,3C3306,3D3305
G002037005000210020,临淄-淄博高新区门架,路段收费门架,实体门架,,36.855113,118.278489,在用,3C0E02,3D0E0D
G002037005000310030,淄博高新区-淄博门架,路段收费门架,实体门架,,36.859075,118.111863,在用,3C0E03,3D0E0C
G002037005000410040,淄博-淄博西枢纽门架,路段收费门架,实体门架,,36.857023,118.019491,在用,3C0E04,3D0E0B
G002037005000510050,淄博西枢纽-周村门架,路段收费门架,实体门架,,36.85766279,117.8946271,在用,3C0E05,3D0E0A
G002037005000610060,周村-邹平东门架,路段收费门架,实体门架,,36.85999069,117.8484391,在用,3C0E06,3D0E09
G002037005000810080,邹平东-邹平西门架,路段收费门架,实体门架,,36.86413436,117.8013404,在用,3C0E07,3D0E08
G002037005000920090,邹平西-邹平东门架,路段收费门架,实体门架,,36.86423645,117.8003416,在用,3D0E08,3C0E07
G002037005001120110,邹平东-周村门架,路段收费门架,实体门架,,36.85986978,117.8472952,在用,3D0E09,3C0E06
G002037005001220120,周村-淄博西枢纽门架,路段收费门架,实体门架,,36.857498,117.893829,在用,3D0E0A,3C0E05
G002037005001320130,淄博西枢纽-淄博门架,路段收费门架,实体门架,,36.856937,118.01865,在用,3D0E0B,3C0E04
G001837016001710010,文登-文登虚收费门架,路段收费门架,虚拟门架,,37.16824404,122.0074029,在用,3C0414,3D0413
G001837016001720010,文登虚-文登收费门架,路段收费门架,虚拟门架,,37.16804042,122.0074755,在用,3D0413,3C0414
G001837016001810010,威海南海-威海南海虚收费门架,路段收费门架,虚拟门架,,37.05710868,121.9067307,在用,3C0416,3D0415
G001837016001820010,威海南海虚-威海南海收费门架,路段收费门架,虚拟门架,,37.05701808,121.9069747,在用,3D0415,3C0416
G001837016001910010,南黄-南黄虚收费门架,路段收费门架,虚拟门架,,36.9690823,121.793973,在用,3C0418,3D0417
G001837016001920010,南黄虚-南黄收费门架,路段收费门架,虚拟门架,,36.96896863,121.7939481,在用,3D0417,3C0418
G001837016002010010,乳山东-乳山东虚收费门架,路段收费门架,虚拟门架,,36.91089029,121.5927214,在用,3C4308,3D4307
G001837016002020010,乳山东虚-乳山东收费门架,路段收费门架,虚拟门架,,36.91077233,121.5927216,在用,3D4307,3C4308
G002037001000210010,青岛-王演庄枢纽门架,路段收费门架,实体门架,,36.39909,120.270819,在用,3C1201,3D120A
G002037001000310020,王演庄枢纽-蓝村门架,路段收费门架,实体门架,,36.407908,120.224241,在用,3C1202,3D1209
G002037001000410030,蓝村-机场北枢纽门架,路段收费门架,实体门架,,36.420495,120.151754,在用,3C1203,3D1211
G002037001000510050,马店枢纽-胶州门架,路段收费门架,实体门架,,36.406298,120.013484,在用,3C1205,3D1206
G002037001000620060,胶州-马店枢纽门架,路段收费门架,实体门架,,36.406163,120.012997,在用,3D1206,3C1205
G002037001000720070,马店枢纽-机场北枢纽门架,路段收费门架,实体门架,,36.413518,120.073013,在用,3D1207,3C1212
G002037001000820090,蓝村-王演庄枢纽门架,路段收费门架,实体门架,,36.408169,120.222615,在用,3D1209,3C1202
G002037001000920100,王演庄枢纽-青岛门架,路段收费门架,实体门架,,36.399217,120.270234,在用,3D120A,3C1201
G002037001001110040,机场北枢纽-马店枢纽门架,路段收费门架,实体门架,,36.41363742,120.0735535,在用,3C1212,3D1207
G002037001001220080,机场北枢纽-蓝村门架,路段收费门架,实体门架,,36.420295,120.150923,在用,3D1211,3C1203
G002037001001310010,胶州-胶州虚收费门架,路段收费门架,虚拟门架,,36.40661409,119.9891376,在用,3C1218,3D1217
G002037001001320010,胶州虚-胶州收费门架,路段收费门架,虚拟门架,,36.40631029,119.9889982,在用,3D1217,3C1218
G002037001001410010,蓝村-蓝村虚收费门架,路段收费门架,虚拟门架,,36.42322747,120.1761317,在用,3C121A,3D1219
G002037001001420010,蓝村虚-蓝村收费门架,路段收费门架,虚拟门架,,36.4233463,120.1761765,在用,3D1219,3C121A
G002037001001510010,青岛-青岛虚收费门架,路段收费门架,虚拟门架,,36.38908872,120.28291,在用,3C121C,3D121B
G002037001001520010,青岛虚-青岛收费门架,路段收费门架,虚拟门架,,36.38878643,120.2824711,在用,3D121B,3C121C
G002037002000110010,胶州-高密门架,路段收费门架,实体门架,,36.41324331,119.9624617,在用,3C120B,3D1210
G002037002000210020,高密-高密西门架,路段收费门架,实体门架,,36.470276,119.765397,在用,3C120C,3D120F
G002037002000310030,高密西-饮马门架,路段收费门架,实体门架,,36.52771407,119.637285,在用,3C120D,3D120E
G002037002000420040,饮马-高密西门架,路段收费门架,实体门架,,36.52776848,119.6365182,在用,3D120E,3C120D
G002037002000520050,高密西-高密门架,路段收费门架,实体门架,,36.470288,119.765001,在用,3D120F,3C120C
G002037002000620060,高密-胶州门架,路段收费门架,实体门架,,36.41316987,119.9617646,在用,3D1210,3C120B
G002037002000710010,饮马-饮马虚收费门架,路段收费门架,虚拟门架,,36.6316984,119.4713661,在用,3C101C,3D101B
G002037002000720010,饮马虚-饮马收费门架,路段收费门架,虚拟门架,,36.63157483,119.4710143,在用,3D101B,3C101C
G002037002000810010,高密-高密虚收费门架,路段收费门架,虚拟门架,,36.46647629,119.7874206,在用,3C1214,3D1213
G002037002000820010,高密虚-高密收费门架,路段收费门架,虚拟门架,,36.46653709,119.787544,在用,3D1213,3C1214
G002037002000910010,高密西-高密西虚收费门架,路段收费门架,虚拟门架,,36.5194906,119.6578024,在用,3C1216,3D1215
G002037002000920010,高密西虚-高密西收费门架,路段收费门架,虚拟门架,,36.51949983,119.6578978,在用,3D1215,3C1216
G002037003000110010,饮马-涌泉枢纽门架,路段收费门架,实体门架,,36.64842386,119.4471573,在用,3C1001,3D100C
G002037003000210020,涌泉枢纽-潍坊东门架,路段收费门架,实体门架,,36.711014,119.257926,备用,3C1002,3D100B
G002037003000310030,潍坊东-潍坊门架,路段收费门架,实体门架,,36.745129,119.172054,在用,3C1003,3D100A
G002037003000410040,潍坊-潍坊西门架,路段收费门架,实体门架,,36.75036028,119.0464824,在用,3C1004,3D1009
G002037003000510050,潍坊西-于河枢纽门架,路段收费门架,实体门架,,36.749917,118.990667,在用,3C1005,3D1008
G002037003000610060,于河枢纽-昌乐门架,路段收费门架,实体门架,,36.754779,118.870468,在用,3C1006,3D1007
G002037003000720070,昌乐-于河枢纽门架,路段收费门架,实体门架,,36.754739,118.869761,在用,3D1007,3C1006
G002037003000820080,于河枢纽-潍坊西门架,路段收费门架,实体门架,,36.749918,118.988962,在用,3D1008,3C1005
G002037003000920090,潍坊西-潍坊门架,路段收费门架,实体门架,,36.7500529,119.0431995,在用,3D1009,3C1004
G002037003001020100,潍坊-潍坊东门架,路段收费门架,实体门架,,36.745141,119.171561,在用,3D100A,3C1003
G002037003001120110,潍坊东-涌泉枢纽门架,路段收费门架,实体门架,,36.711007,119.257259,备用,3D100B,3C1002
G002037003001220120,涌泉枢纽-饮马门架,路段收费门架,实体门架,,36.64858329,119.4467349,在用,3D100C,3C1001
G002037003001310010,昌乐-昌乐虚收费门架,路段收费门架,虚拟门架,,36.75706919,118.8542077,在用,3C1025,3D1024
G002037003001320010,昌乐虚-昌乐收费门架,路段收费门架,虚拟门架,,36.75721701,118.8542868,在用,3D1024,3C1025
G002037003001410010,潍坊西-潍坊西虚收费门架,路段收费门架,虚拟门架,,36.74742602,119.0344312,在用,3C1027,3D1026
G002037003001420010,潍坊西虚-潍坊西收费门架,路段收费门架,虚拟门架,,36.74717946,119.0343668,在用,3D1026,3C1027
G002037003001510010,潍坊-潍坊虚收费门架,路段收费门架,虚拟门架,,36.74931339,119.1629537,在用,3C1018,3D101D
G002037003001520010,潍坊虚-潍坊收费门架,路段收费门架,虚拟门架,,36.74915725,119.1628634,在用,3D101D,3C1018
G002037003001610010,潍坊东-潍坊东虚收费门架,路段收费门架,虚拟门架,,36.71544131,119.2457642,在用,3C101A,3D1019
G002037003001620010,潍坊东虚-潍坊东收费门架,路段收费门架,虚拟门架,,36.71520024,119.2457085,在用,3D1019,3C101A
G002037004000110010,昌乐-寿光门架,路段收费门架,实体门架,,36.757178,118.813307,在用,3C100D,3D1016
G002037004000210020,寿光-青州东门架,路段收费门架,实体门架,,36.762433,118.703195,在用,3C100E,3D1017
G002037004000310030,青州东-于家枢纽门架,路段收费门架,实体门架,,36.796831,118.591498,在用,3C100F,3D1014
G002037004000410040,于家枢纽-青州西门架,路段收费门架,实体门架,,36.803947,118.533225,在用,3C1010,3D1013
G002037004000510050,青州西-临淄东门架,路段收费门架,实体门架,,36.819142,118.486597,在用,3C1011,3D1012
G002037004000820080,临淄东-青州西门架,路段收费门架,实体门架,,36.819121,118.485739,在用,3D1012,3C1011
G002037004000920090,青州西-于家枢纽门架,路段收费门架,实体门架,,36.804004,118.532367,在用,3D1013,3C1010
G002037004001020100,于家枢纽-青州东门架,路段收费门架,实体门架,,36.796923,118.590602,在用,3D1014,3C100F
G002037004001120110,青州东-寿光门架,路段收费门架,实体门架,,36.762639,118.702256,在用,3D1017,3C100E
G002037004001220120,寿光-昌乐门架,路段收费门架,实体门架,,36.757099,118.812787,在用,3D1016,3C100D
G002037004001310010,青州西-青州西虚收费门架,路段收费门架,虚拟门架,,36.81360326,118.5004489,在用,3C101F,3D101E
G002037004001320010,青州西虚-青州西收费门架,路段收费门架,虚拟门架,,36.81374965,118.5004348,在用,3D101E,3C101F
G002037004001410010,青州东-青州东虚收费门架,路段收费门架,虚拟门架,,36.78685932,118.6204972,在用,3C1021,3D1020
G002037004001420010,青州东虚-青州东收费门架,路段收费门架,虚拟门架,,36.78681918,118.6205845,在用,3D1020,3C1021
G002037004001510010,寿光-寿光虚收费门架,路段收费门架,虚拟门架,,36.76313992,118.7285746,在用,3C1023,3D1022
G002037004001520010,寿光虚-寿光收费门架,路段收费门架,虚拟门架,,36.76305544,118.7287489,在用,3D1022,3C1023
G002037005000110010,临淄东-临淄门架,路段收费门架,实体门架,,36.837922,118.379237,在用,3C0E01,3D0E0E
G002037006002820010,华山北枢纽-东客站虚收费门架,路段收费门架,实体门架,,36.759028,117.122887,在用,3D0E1C,3C0E1B
G002037007000110020,齐河北枢纽-禹城南门架,路段收费门架,实体门架,,36.871939,116.671991,在用,3C0B19,3D0B17
G002037007000210030,禹城南-高唐东门架,路段收费门架,实体门架,,36.867835,116.627471,在用,3C0B1A,3D0B16
G002037007000410050,高唐-高邢青银枢纽门架,路段收费门架,实体门架,,36.923862,116.212489,在用,3C0B1C,3D0B14
G002037007000510060,高邢青银枢纽-夏津门架,路段收费门架,实体门架,,36.99466,116.048442,在用,3C0B1D,3D0B13
G002037007000620120,德商青银立交-夏津门架,路段收费门架,实体门架,,37.009757,116.003387,在用,3D0B09,3C0B1E
G002037007000710070,夏津-德商青银立交门架,路段收费门架,实体门架,,37.009653,116.004744,在用,3C0B1E,3D0B09
G002037007000810080,德商青银立交-青银鲁冀门架,省界收费门架,实体门架,省界出口,37.019516,115.891796,在用,3E0B0B,3F0B0C
G002037007000810090,德商青银立交-青银鲁冀门架,省界收费门架,实体门架,省界出口,37.019624,115.885881,在用,3E0B0B,3F0B0C
G002037007000920100,青银鲁冀-德商青银立交门架,省界收费门架,实体门架,省界入口,37.022298,115.865787,在用,3F0B0C,3E0B0B
G002037007000920110,青银鲁冀-德商青银立交门架,省界收费门架,实体门架,省界入口,37.019791,115.879799,在用,3F0B0C,3E0B0B
G002037007001020130,夏津-高邢青银枢纽门架,路段收费门架,实体门架,,36.995048,116.047502,在用,3D0B13,3C0B1D
G002037007001120140,高邢青银枢纽-高唐门架,路段收费门架,实体门架,,36.923929,116.211936,在用,3D0B14,3C0B1C
G002037007001320160,高唐东-禹城南门架,路段收费门架,实体门架,,36.867531,116.626267,在用,3D0B16,3C0B1A
G002037007001420170,禹城南-齐河北枢纽门架,路段收费门架,实体门架,,36.871981,116.670474,在用,3D0B17,3C0B19
G002037007001510010,禹城南-禹城南虚收费门架,路段收费门架,虚拟门架,,36.87394328,116.6513486,在用,3C0B21,3D0B20
G002037007001520010,禹城南虚-禹城南收费门架,路段收费门架,虚拟门架,,36.87383865,116.6513782,在用,3D0B20,3C0B21
G002037007001610010,高唐东-高唐东虚收费门架,路段收费门架,虚拟门架,,36.89860503,116.3771557,备用,3C0B23,3D0B22
G002037007001620010,高唐东虚-高唐东收费门架,路段收费门架,虚拟门架,,36.89849993,116.3771206,备用,3D0B22,3C0B23
G002037007001710010,高唐-高唐虚收费门架,路段收费门架,虚拟门架,,36.91577215,116.2339785,在用,3C0B25,3D0B24
G002037007001720010,高唐虚-高唐收费门架,路段收费门架,虚拟门架,,36.91566723,116.2339099,在用,3D0B24,3C0B25
G002037007001810010,夏津-夏津虚收费门架,路段收费门架,虚拟门架,,37.00403981,116.0193471,在用,3C0B27,3D0B26
G002037007001820010,夏津虚-夏津收费门架,路段收费门架,虚拟门架,,37.00410974,116.0192353,在用,3D0B26,3C0B27
G002037007001910010,高唐东虚-尹集立交收费门架,路段收费门架,实体门架,,36.906044,116.340003,在用,3C0B29,3D0B2A
G002037007001920020,尹集立交-高唐东虚收费门架,路段收费门架,实体门架,,36.906153,116.339382,在用,3D0B2A,3C0B29
G002037007002010010,尹集立交-高唐虚收费门架,路段收费门架,虚拟门架,,36.917623,116.257563,备用,3C0B28,3D0B2B
G002037007002020020,高唐虚-尹集立交收费门架,路段收费门架,虚拟门架,,36.917503,116.257949,备用,3D0B2B,3C0B28
G002237001000210020,辛兴-诸城东门架,路段收费门架,实体门架,,36.064807,119.575076,在用,3C3F01,3D3F0A
G002237001000310030,诸城东-诸城门架,路段收费门架,实体门架,,36.0777373,119.4563394,在用,3C3F02,3D3F09
G002237001000410040,诸城-诸城枢纽门架,路段收费门架,实体门架,,36.082346,119.374574,在用,3C3F03,3D3F08
G002237001000510050,诸城枢纽-诸城西门架,路段收费门架,实体门架,,36.064083,119.232525,在用,3C3F04,3D3F07
G002237001000610060,诸城西-孟疃门架,路段收费门架,实体门架,,36.056809,119.192332,在用,3C3F0B,3D3F06
G002237001000920090,孟疃-诸城西门架,路段收费门架,实体门架,,36.056657,119.191511,在用,3D3F06,3C3F0B
G002237001001020100,诸城西-诸城枢纽门架,路段收费门架,实体门架,,36.063659,119.231469,在用,3D3F07,3C3F04
G002237001001120110,诸城枢纽-诸城门架,路段收费门架,实体门架,,36.082115,119.373635,在用,3D3F08,3C3F03
G002237001001220120,诸城-诸城东门架,路段收费门架,实体门架,,36.0785628,119.4545648,在用,3D3F09,3C3F02
G002237001001320130,诸城东-辛兴门架,路段收费门架,实体门架,,36.064721,119.574345,在用,3D3F0A,3C3F01
G002237001001510010,孟疃-孟疃虚收费门架,路段收费门架,虚拟门架,,36.0462879,119.0562084,在用,3C3E0E,3D3E0D
G002037005001420140,淄博-淄博高新区门架,路段收费门架,实体门架,,36.859031,118.110869,在用,3D0E0C,3C0E03
G002037005001520150,淄博高新区-临淄门架,路段收费门架,实体门架,,36.855008,118.278079,在用,3D0E0D,3C0E02
G002037005001620160,临淄-临淄东门架,路段收费门架,实体门架,,36.837849,118.377985,在用,3D0E0E,3C0E01
G002037006000210020,邹平西-章丘门架,路段收费门架,实体门架,,36.863859,117.519511,在用,3C0D09,3D0D15
G002037006000310030,章丘-章丘西门架,路段收费门架,实体门架,,36.850333,117.4732,在用,3C0D0A,3D0D14
G002037006000410040,章丘西-唐王枢纽门架,路段收费门架,实体门架,,36.81766252,117.3944773,在用,3C0D0B,3D0D13
G002037006000510050,唐王枢纽-临港门架,路段收费门架,实体门架,,36.781307,117.266602,在用,3C0D0C,3D0D12
G002037006000610060,临港-小许家枢纽门架,路段收费门架,实体门架,,36.775671,117.232785,备用,3C0D0D,3D0D11
G002037006000710070,小许家枢纽-东客站门架,路段收费门架,实体门架,,36.75874577,117.164502,在用,3C0D0E,3D0D17
G002037006000810080,华山北枢纽-济南虚收费门架,路段收费门架,实体门架,,36.753056,117.120859,备用,3C0D0F,3D0D16
G002037006000920100,济南虚-华山北枢纽收费门架,路段收费门架,实体门架,,36.742484,117.06755,备用,3D0D16,3C0D0F
G002037006001020120,东客站-小许家枢纽门架,路段收费门架,实体门架,,36.75812086,117.1622183,在用,3D0D17,3C0D0E
G002037006001120130,小许家枢纽-临港门架,路段收费门架,实体门架,,36.775414,117.23183,备用,3D0D11,3C0D0D
G002037006001220140,临港-唐王枢纽门架,路段收费门架,实体门架,,36.781035,117.265111,在用,3D0D12,3C0D0C
G002037006001320150,唐王枢纽-章丘西门架,路段收费门架,实体门架,,36.81736682,117.3941005,停用,3D0D13,3C0D0B
G002037006001420160,章丘西-章丘门架,路段收费门架,实体门架,,36.849807,117.47275,在用,3D0D14,3C0D0A
G002037006001520170,章丘-邹平西门架,路段收费门架,实体门架,,36.863671,117.518273,在用,3D0D15,3C0D09
G002037006001710010,章丘-章丘虚收费门架,路段收费门架,虚拟门架,,36.8560145,117.4977451,在用,3C0D1B,3D0D1A
G002037006001720010,章丘虚-章丘收费门架,路段收费门架,虚拟门架,,36.85569587,117.4977941,在用,3D0D1A,3C0D1B
G002037006001810010,章丘西-章丘西虚收费门架,路段收费门架,虚拟门架,,36.82252828,117.4189917,在用,3C0D1D,3D0D1C
G002037006001820010,章丘西虚-章丘西收费门架,路段收费门架,虚拟门架,,36.82237163,117.4190034,在用,3D0D1C,3C0D1D
G002037006001910010,临港-临港虚收费门架,路段收费门架,虚拟门架,,36.7800438,117.2438143,在用,3C0D1F,3D0D1E
G002037006001920010,临港虚-临港收费门架,路段收费门架,虚拟门架,,36.78011709,117.2438023,在用,3D0D1E,3C0D1F
G002037006002010010,东客站-东客站虚收费门架,路段收费门架,虚拟门架,,36.75945879,117.1411638,在用,3C0D21,3D0D20
G002037006002020010,东客站虚-东客站收费门架,路段收费门架,虚拟门架,,36.7594582,117.1412316,在用,3D0D20,3C0D21
G002037006002110010,邹平东-邹平东虚收费门架,路段收费门架,虚拟门架,,36.85579533,117.8185933,在用,3C0E1E,3D0E1D
G002037006002120010,邹平东虚-邹平东收费门架,路段收费门架,虚拟门架,,36.85598287,117.8186444,在用,3D0E1D,3C0E1E
G002037006002210010,周村-周村虚收费门架,路段收费门架,虚拟门架,,36.8566881,117.8720656,在用,3C0E24,3D0E1F
G002037006002220010,周村虚-周村收费门架,路段收费门架,虚拟门架,,36.85672246,117.8720014,在用,3D0E1F,3C0E24
G002037006002310010,淄博-淄博虚收费门架,路段收费门架,虚拟门架,,36.85962818,118.0801607,在用,3C0E26,3D0E25
G002037006002320010,淄博虚-淄博收费门架,路段收费门架,虚拟门架,,36.85932896,118.0803796,在用,3D0E25,3C0E26
G002037006002410010,临淄-临淄虚收费门架,路段收费门架,虚拟门架,,36.85314685,118.3025903,在用,3C0E28,3D0E27
G002037006002420010,临淄虚-临淄收费门架,路段收费门架,虚拟门架,,36.85251536,118.302443,在用,3D0E27,3C0E28
G002037006002510010,邹平西-邹平西虚收费门架,路段收费门架,虚拟门架,,36.88298154,117.6927695,在用,3C0E2A,3D0E29
G002037006002520010,邹平西虚-邹平西收费门架,路段收费门架,虚拟门架,,36.88305199,117.6927794,在用,3D0E29,3C0E2A
G002037006002610010,淄博高新区-淄博高新区虚收费门架,路段收费门架,虚拟门架,,36.85663486,118.1351859,在用,3C0E21,3D0E20
G002037006002620010,淄博高新区虚-淄博高新区收费门架,路段收费门架,虚拟门架,,36.85658558,118.1350239,在用,3D0E20,3C0E21
G002037006002710010,临淄东-临淄东虚收费门架,路段收费门架,虚拟门架,,36.8336113,118.3988892,在用,3C0E23,3D0E22
G002037006002720010,临淄东虚-临淄东收费门架,路段收费门架,虚拟门架,,36.83411011,118.3985695,在用,3D0E22,3C0E23
G002037006002810020,东客站虚-华山北枢纽收费门架,路段收费门架,实体门架,,36.753268,117.12537,在用,3C0E1B,3D0E1C
G002237007000510030,岱岳-肥城南门架,路段收费门架,实体门架,,36.143749,116.966089,在用,3C6E03,3D6E10
G002237007000810040,肥城南-桃园门架,路段收费门架,实体门架,,36.120218,116.753656,在用,3C6E04,3D6E0F
G002237007001110050,桃园-肥城西门架,路段收费门架,实体门架,,36.13755962,116.6095425,在用,3C6E05,3D6E0E
G002237007001210060,肥城西-平阴孔村门架,路段收费门架,实体门架,,36.139745,116.552358,在用,3C6E06,3D6E0D
G002237007001410070,平阴孔村-孔村枢纽门架,路段收费门架,实体门架,,36.165168,116.473835,在用,3C6E07,3D6E0C
G002237007001510080,孔村枢纽-平阴玫瑰门架,路段收费门架,实体门架,,36.211185,116.374137,在用,3C6E08,3D6E0B
G002237007001610090,平阴玫瑰-黄河特大桥终点门架,路段收费门架,实体门架,,36.22282,116.324844,备用,3C6E09,3D6E0A
G002237007001820100,黄河特大桥终点-平阴玫瑰门架,路段收费门架,实体门架,,36.222922,116.323742,备用,3D6E0A,3C6E09
G002237007002020110,平阴玫瑰-孔村枢纽门架,路段收费门架,实体门架,,36.211334,116.372913,在用,3D6E0B,3C6E08
G002237007002120120,孔村枢纽-平阴孔村门架,路段收费门架,实体门架,,36.165567,116.472608,在用,3D6E0C,3C6E07
G002237001001520010,孟疃虚-孟疃收费门架,路段收费门架,虚拟门架,,36.04611606,119.0561074,在用,3D3E0D,3C3E0E
G002237001001610010,诸城西-诸城西虚收费门架,路段收费门架,虚拟门架,,36.05768267,119.2171637,在用,3C3F0D,3D3F0C
G002237001001620010,诸城西虚-诸城西收费门架,路段收费门架,虚拟门架,,36.0578103,119.2169976,在用,3D3F0C,3C3F0D
G002237001001710010,诸城-诸城虚收费门架,路段收费门架,虚拟门架,,36.07977643,119.4022616,在用,3C3F0F,3D3F0E
G002237001001720010,诸城虚-诸城收费门架,路段收费门架,虚拟门架,,36.07948618,119.4021556,在用,3D3F0E,3C3F0F
G002237001001810010,诸城东-诸城东虚收费门架,路段收费门架,虚拟门架,,36.06626032,119.4765738,在用,3C3F11,3D3F10
G002237001001820010,诸城东虚-诸城东收费门架,路段收费门架,虚拟门架,,36.06639763,119.4765261,在用,3D3F10,3C3F11
G002237001001910010,辛兴-辛兴虚收费门架,路段收费门架,虚拟门架,,36.06020835,119.5897812,在用,3C400E,3D400D
G002237001001920010,辛兴虚-辛兴收费门架,路段收费门架,虚拟门架,,36.06038555,119.589797,在用,3D400D,3C400E
G002237002000110010,孟疃-杨庄门架,路段收费门架,实体门架,,36.04634912,118.8955122,在用,3C3E01,3D3E08
G002237002000210020,杨庄-马站枢纽门架,路段收费门架,实体门架,,36.03067358,118.8414755,在用,3C3E02,3D3E07
G002237002000310030,马站枢纽-诸葛门架,路段收费门架,实体门架,,36.039313,118.58484,在用,3C3E03,3D3E06
G002237002000410040,诸葛-张家坡门架,路段收费门架,实体门架,,36.04283047,118.5323645,在用,3C3E04,3D3E05
G002237002000520050,张家坡-诸葛门架,路段收费门架,实体门架,,36.0430809,118.5313315,在用,3D3E05,3C3E04
G002237002000620060,诸葛-马站枢纽门架,路段收费门架,实体门架,,36.038434,118.582398,在用,3D3E06,3C3E03
G002237002000720070,马站枢纽-杨庄门架,路段收费门架,实体门架,,36.03030808,118.8403751,在用,3D3E07,3C3E02
G002237002000820080,杨庄-孟疃门架,路段收费门架,实体门架,,36.04594326,118.8945251,在用,3D3E08,3C3E01
G002237002000910010,诸葛-诸葛虚收费门架,路段收费门架,虚拟门架,,36.03391727,118.5489196,在用,3C3E0A,3D3E09
G002237002000920010,诸葛虚-诸葛收费门架,路段收费门架,虚拟门架,,36.03405444,118.5488105,在用,3D3E09,3C3E0A
G002237002001010010,青兰杨庄-青兰杨庄虚收费门架,路段收费门架,虚拟门架,,36.03792079,118.8671518,在用,3C3E0C,3D3E0B
G002237002001020010,青兰杨庄虚-青兰杨庄收费门架,路段收费门架,虚拟门架,,36.03811731,118.8672157,在用,3D3E0B,3C3E0C
G002237003000210020,张家坡-沂源东门架,路段收费门架,实体门架,,36.175313,118.253285,在用,3C3D01,3D3D08
G002237003000310030,沂源东-沂源门架,路段收费门架,实体门架,,36.15785171,118.1568684,在用,3C3D02,3D3D07
G002237003000410040,沂源-鲁村门架,路段收费门架,实体门架,,36.181159,118.01212,在用,3C3D03,3D3D06
G002237003000510050,鲁村-辛庄门架,路段收费门架,实体门架,,36.212538,117.971079,在用,3C3D04,3D3D05
G002237003000620060,辛庄-鲁村门架,路段收费门架,实体门架,,36.212631,117.970505,备用,3D3D05,3C3D04
G002237003000720070,鲁村-沂源门架,路段收费门架,实体门架,,36.181891,118.010417,在用,3D3D06,3C3D03
G002237003000820080,沂源-沂源东门架,路段收费门架,实体门架,,36.15749647,118.1564518,在用,3D3D07,3C3D02
